Date,Open,High,Low,Close,Adj Close,Volume
2016-10-20,880.000000,890.000000,880.000000,890.000000,882.432556,55000
2016-10-21,915.000000,915.000000,915.000000,915.000000,907.220093,20000
2016-10-24,915.000000,915.000000,912.500000,912.500000,904.741333,1000
2016-10-25,910.000000,910.000000,910.000000,910.000000,902.262573,973000
2016-10-26,910.000000,910.000000,910.000000,910.000000,902.262573,0
2016-10-27,842.500000,842.500000,842.500000,842.500000,835.336487,473000
2016-10-28,842.500000,842.500000,842.500000,842.500000,835.336487,0
2016-10-31,842.500000,880.000000,842.500000,880.000000,872.517700,501000
2016-11-01,880.000000,880.000000,880.000000,880.000000,872.517700,0
2016-11-02,880.000000,880.000000,880.000000,880.000000,872.517700,0
2016-11-03,880.000000,880.000000,880.000000,880.000000,872.517700,0
2016-11-04,880.000000,880.000000,880.000000,880.000000,872.517700,0
2016-11-07,880.000000,880.000000,880.000000,880.000000,872.517700,0
2016-11-08,895.000000,895.000000,895.000000,895.000000,887.390137,10000
2016-11-09,895.000000,895.000000,895.000000,895.000000,887.390137,0
2016-11-10,895.000000,895.000000,895.000000,895.000000,887.390137,0
2016-11-11,895.000000,895.000000,895.000000,895.000000,887.390137,0
2016-11-14,830.000000,895.000000,810.000000,895.000000,887.390137,55000
2016-11-15,895.000000,895.000000,895.000000,895.000000,887.390137,0
2016-11-16,895.000000,895.000000,895.000000,895.000000,887.390137,0
2016-11-17,895.000000,895.000000,895.000000,895.000000,887.390137,0
2016-11-18,895.000000,895.000000,895.000000,895.000000,887.390137,5000
2016-11-21,895.000000,895.000000,895.000000,895.000000,887.390137,0
2016-11-22,895.000000,895.000000,895.000000,895.000000,887.390137,0
2016-11-23,895.000000,895.000000,895.000000,895.000000,887.390137,0
2016-11-24,895.000000,895.000000,895.000000,895.000000,887.390137,0
2016-11-25,895.000000,895.000000,895.000000,895.000000,887.390137,0
2016-11-28,895.000000,895.000000,895.000000,895.000000,887.390137,0
2016-11-29,895.000000,895.000000,895.000000,895.000000,887.390137,0
2016-11-30,880.000000,920.000000,820.000000,820.000000,813.027832,35000
2016-12-01,820.000000,870.000000,820.000000,870.000000,862.602722,3000
2016-12-02,870.000000,870.000000,870.000000,870.000000,862.602722,0
2016-12-05,870.000000,870.000000,870.000000,870.000000,862.602722,4000
2016-12-06,870.000000,870.000000,870.000000,870.000000,862.602722,0
2016-12-07,870.000000,870.000000,870.000000,870.000000,862.602722,9000
2016-12-08,870.000000,870.000000,870.000000,870.000000,862.602722,0
2016-12-09,870.000000,870.000000,870.000000,870.000000,862.602722,0
2016-12-13,870.000000,870.000000,870.000000,870.000000,862.602722,20000
2016-12-14,870.000000,870.000000,870.000000,870.000000,864.590271,1000
2016-12-15,870.000000,870.000000,870.000000,870.000000,864.590271,0
2016-12-16,870.000000,870.000000,870.000000,870.000000,864.590271,0
2016-12-19,870.000000,870.000000,870.000000,870.000000,864.590271,0
2016-12-20,870.000000,870.000000,870.000000,870.000000,864.590271,0
2016-12-21,870.000000,870.000000,870.000000,870.000000,864.590271,0
2016-12-22,870.000000,870.000000,870.000000,870.000000,864.590271,0
2016-12-23,870.000000,870.000000,870.000000,870.000000,864.590271,0
2016-12-27,870.000000,870.000000,870.000000,870.000000,864.590271,0
2016-12-28,850.000000,850.000000,850.000000,850.000000,844.714600,1000
2016-12-29,845.000000,950.000000,807.500000,950.000000,944.092834,140000
2016-12-30,927.500000,997.500000,927.500000,997.500000,991.297424,130000
2017-01-02,997.500000,997.500000,997.500000,997.500000,991.297424,0
2017-01-03,997.500000,997.500000,997.500000,997.500000,991.297424,0
2017-01-04,997.500000,997.500000,970.000000,970.000000,963.968384,290000
2017-01-05,970.000000,970.000000,970.000000,970.000000,963.968384,0
2017-01-06,970.000000,970.000000,970.000000,970.000000,963.968384,0
2017-01-09,970.000000,970.000000,940.000000,940.000000,934.154968,15000
2017-01-10,940.000000,940.000000,840.000000,840.000000,834.776794,3000
2017-01-11,840.000000,840.000000,840.000000,840.000000,834.776794,0
2017-01-12,840.000000,840.000000,840.000000,840.000000,834.776794,0
2017-01-13,840.000000,840.000000,840.000000,840.000000,834.776794,0
2017-01-16,840.000000,840.000000,840.000000,840.000000,834.776794,0
2017-01-17,840.000000,840.000000,840.000000,840.000000,834.776794,0
2017-01-18,840.000000,840.000000,822.500000,827.500000,822.354492,4000
2017-01-19,890.000000,890.000000,870.000000,870.000000,864.590271,2000
2017-01-20,885.000000,885.000000,885.000000,885.000000,879.497009,1000
2017-01-23,885.000000,885.000000,885.000000,885.000000,879.497009,0
2017-01-24,885.000000,885.000000,885.000000,885.000000,879.497009,0
2017-01-25,885.000000,885.000000,885.000000,885.000000,879.497009,0
2017-01-26,885.000000,920.000000,885.000000,890.000000,884.465820,15000
2017-01-27,910.000000,910.000000,910.000000,910.000000,904.341492,1000
2017-01-30,910.000000,910.000000,910.000000,910.000000,904.341492,0
2017-01-31,910.000000,910.000000,910.000000,910.000000,904.341492,0
2017-02-01,910.000000,910.000000,910.000000,910.000000,904.341492,0
2017-02-02,910.000000,910.000000,910.000000,910.000000,904.341492,0
